Name,Season,Position,Wins,Losses,GoalsScored,GoalsConceded,CleanSheets,Shots,ShotsOnTarget,PenaltiesScored,Saves,Passes,PassAccuracy,Tackles,TacklesSuccess,BlockedShots,Clearances,Interceptions,Crosses,AerialDuels%,OwnGoals,YellowCards,RedCards,Offsides,
Elche,2021-22,13.00,11.00,18.00,40.00,52.00,8.00,334.00,106.00,1.00,121.00,12948.00,0.77,589.00,0.55,126.00,769.00,305.00,720.00,0.51,0.00,104.00,6.00,74.00,
Elche,2020-21,17.00,8.00,18.00,34.00,55.00,7.00,265.00,86.00,2.00,106.00,13481.00,0.79,551.00,0.61,97.00,689.00,386.00,672.00,0.48,1.00,99.00,3.00,51.00,
Espanyol,2022-23,19.00,8.00,17.00,52.00,69.00,6.00,417.00,151.00,5.00,115.00,10827.00,0.74,652.00,0.58,134.00,788.00,338.00,713.00,0.52,2.00,99.00,10.00,62.00,
Espanyol,2021-22,14.00,10.00,16.00,40.00,53.00,10.00,403.00,128.00,5.00,118.00,13360.00,0.79,557.00,0.61,114.00,892.00,326.00,627.00,0.44,2.00,99.00,7.00,70.00,
Espanyol,2019-20,20.00,5.00,23.00,27.00,58.00,6.00,407.00,120.00,4.00,106.00,11881.00,0.73,628.00,0.58,96.00,731.00,360.00,710.00,0.48,2.00,107.00,9.00,65.00,
Espanyol,2018-19,7.00,14.00,13.00,48.00,50.00,10.00,470.00,154.00,4.00,117.00,13855.00,0.78,655.00,0.60,134.00,950.00,408.00,544.00,0.50,2.00,92.00,2.00,84.00,
Getafe,2022-23,15.00,10.00,16.00,34.00,45.00,13.00,365.00,116.00,5.00,119.00,9690.00,0.69,541.00,0.63,113.00,861.00,320.00,649.00,0.51,2.00,126.00,9.00,79.00,
Getafe,2021-22,15.00,8.00,15.00,33.00,41.00,14.00,404.00,111.00,3.00,91.00,10278.00,0.70,587.00,0.61,96.00,719.00,401.00,621.00,0.50,1.00,121.00,8.00,53.00,
Getafe,2020-21,15.00,9.00,18.00,28.00,43.00,14.00,355.00,97.00,3.00,70.00,8977.00,0.65,579.00,0.61,53.00,615.00,393.00,815.00,0.47,3.00,120.00,7.00,74.00,
Getafe,2019-20,8.00,14.00,12.00,43.00,37.00,15.00,408.00,121.00,6.00,73.00,8319.00,0.61,580.00,0.59,60.00,625.00,367.00,833.00,0.47,2.00,135.00,5.00,106.00,
Getafe,2018-19,5.00,15.00,9.00,48.00,35.00,13.00,395.00,122.00,6.00,99.00,8108.00,0.62,604.00,0.59,81.00,888.00,453.00,638.00,0.47,2.00,111.00,7.00,102.00,
Girona,2022-23,10.00,13.00,15.00,58.00,55.00,4.00,446.00,160.00,8.00,112.00,15146.00,0.81,551.00,0.58,111.00,662.00,266.00,713.00,0.50,0.00,92.00,4.00,87.00,
Girona,2018-19,18.00,9.00,19.00,43.00,65.00,9.00,392.00,137.00,6.00,154.00,13136.00,0.76,613.00,0.60,124.00,928.00,432.00,743.00,0.50,2.00,83.00,4.00,60.00,
Granada,2021-22,18.00,8.00,16.00,44.00,61.00,8.00,421.00,131.00,3.00,132.00,10582.00,0.71,611.00,0.56,130.00,841.00,326.00,691.00,0.45,2.00,105.00,4.00,62.00,
Granada,2020-21,9.00,13.00,18.00,47.00,65.00,9.00,354.00,121.00,3.00,101.00,9083.00,0.68,499.00,0.56,128.00,764.00,392.00,613.00,0.44,1.00,97.00,6.00,82.00,
Granada,2019-20,7.00,16.00,14.00,52.00,45.00,13.00,389.00,118.00,5.00,110.00,9810.00,0.70,584.00,0.60,118.00,750.00,383.00,670.00,0.47,0.00,109.00,1.00,70.00,
Huesca,2020-21,18.00,7.00,18.00,34.00,53.00,9.00,404.00,130.00,3.00,98.00,13507.00,0.77,556.00,0.58,83.00,616.00,437.00,824.00,0.49,2.00,69.00,2.00,101.00,
Huesca,2018-19,19.00,7.00,19.00,43.00,65.00,6.00,463.00,139.00,6.00,112.00,10586.00,0.71,712.00,0.63,107.00,953.00,440.00,771.00,0.49,3.00,114.00,3.00,94.00,
Leganes,2019-20,18.00,8.00,18.00,30.00,51.00,9.00,427.00,143.00,3.00,87.00,10336.00,0.70,603.00,0.59,73.00,687.00,418.00,771.00,0.47,1.00,127.00,4.00,75.00,
Leganes,2018-19,13.00,11.00,15.00,37.00,43.00,11.00,414.00,128.00,3.00,91.00,10773.00,0.71,609.00,0.63,84.00,907.00,432.00,744.00,0.56,1.00,106.00,4.00,75.00,
Levante,2021-22,19.00,8.00,19.00,51.00,76.00,7.00,430.00,146.00,8.00,126.00,12584.00,0.77,558.00,0.55,110.00,737.00,377.00,624.00,0.47,0.00,109.00,6.00,77.00,
Levante,2020-21,14.00,9.00,15.00,46.00,57.00,4.00,376.00,125.00,3.00,108.00,14190.00,0.78,511.00,0.55,93.00,681.00,435.00,697.00,0.47,2.00,68.00,1.00,69.00,
Levante,2019-20,12.00,14.00,17.00,47.00,53.00,6.00,422.00,133.00,5.00,161.00,12415.00,0.76,507.00,0.57,107.00,763.00,331.00,697.00,0.48,2.00,79.00,5.00,81.00,
Levante,2018-19,15.00,11.00,16.00,59.00,66.00,7.00,435.00,154.00,5.00,161.00,10824.00,0.73,572.00,0.65,151.00,842.00,422.00,674.00,0.45,2.00,112.00,7.00,85.00,
Mallorca,2022-23,9.00,14.00,16.00,37.00,43.00,13.00,324.00,107.00,4.00,101.00,10451.00,0.73,583.00,0.59,146.00,859.00,318.00,635.00,0.52,0.00,120.00,5.00,77.00,
Mallorca,2021-22,16.00,10.00,19.00,36.00,63.00,9.00,440.00,131.00,6.00,91.00,11046.00,0.74,607.00,0.55,119.00,826.00,344.00,597.00,0.48,4.00,114.00,7.00,67.00,
Mallorca,2019-20,19.00,9.00,23.00,40.00,65.00,5.00,410.00,118.00,8.00,125.00,11782.00,0.75,545.00,0.62,117.00,672.00,376.00,682.00,0.47,1.00,93.00,5.00,58.00,
Osasuna,2022-23,7.00,15.00,15.00,37.00,42.00,11.00,441.00,133.00,4.00,107.00,12725.00,0.76,12725.00,0.01,97.00,749.00,315.00,794.00,0.49,2.00,93.00,7.00,60.00,
Osasuna,2021-22,10.00,12.00,15.00,37.00,51.00,12.00,425.00,114.00,6.00,99.00,11904.00,0.72,577.00,0.57,115.00,758.00,368.00,864.00,0.52,2.00,84.00,2.00,66.00,
Osasuna,2020-21,11.00,11.00,16.00,37.00,48.00,11.00,368.00,114.00,5.00,94.00,10233.00,0.68,524.00,0.54,100.00,774.00,392.00,700.00,0.55,2.00,80.00,5.00,67.00,
Osasuna,2019-20,10.00,13.00,12.00,46.00,54.00,11.00,455.00,142.00,8.00,89.00,10959.00,0.69,613.00,0.59,98.00,738.00,417.00,755.00,0.50,0.00,110.00,6.00,80.00,
Rayo Vallecano,2022-23,11.00,13.00,15.00,45.00,53.00,9.00,510.00,146.00,4.00,95.00,13497.00,0.76,636.00,0.62,92.00,680.00,309.00,832.00,0.45,4.00,90.00,6.00,98.00,
